-12213,-3054,197
-12201,-3103,197
-12189,-3163,197
-12179,-3217,195
-12169,-3277,195
-12155,-3366,197
-12142,-3437,198
-12131,-3494,199
-12111,-3567,202
-12090,-3615,203
-12032,-3699,206
-12001,-3731,207
-11960,-3772,207
-11911,-3814,208
-11851,-3865,209
-11795,-3911,208
-11695,-3992,208
-11625,-4049,208
-11565,-4099,208
-11510,-4145,207
-11462,-4187,207
-11416,-4228,206
-11320,-4323,205
-11284,-4361,203
-11238,-4416,202
-11193,-4475,205
-11155,-4529,210
-11088,-4633,214
-11058,-4679,215
-11025,-4729,216
-10990,-4776,218
-10870,-4881,221
-10808,-4904,222
-10758,-4902,225
-10730,-4893,226
-10700,-4875,226
-10671,-4847,227
-10654,-4826,228
-10636,-4795,229
-10613,-4748,229
-10604,-4724,229
-10587,-4675,229
-10580,-4647,229
-10566,-4590,229
-10561,-4566,229
-10552,-4520,229
-10541,-4462,230
-10536,-4432,230
-10526,-4373,229
-10510,-4271,229
-10494,-4137,229
-10482,-4048,229
-10474,-3990,229
-10460,-3883,229
-10456,-3856,228
-10444,-3773,229
-10421,-3625,229
-10414,-3575,228
-10388,-3415,228
-10361,-3245,229
-10351,-3184,228
-10338,-3100,227
-10325,-3015,227
-10300,-2865,225
-10279,-2737,225
-10260,-2632,225
-10248,-2566,226
-10224,-2434,226
-10211,-2368,226
-10176,-2193,228
-10156,-2092,228
-10135,-1999,228
-10108,-1881,227
-10077,-1753,224
-10050,-1641,222
-10019,-1521,218
-10005,-1465,217
-9986,-1395,215
-9948,-1262,211
-9903,-1112,207
-9876,-1026,205
-9851,-950,204
-9813,-833,202
-9776,-729,200
-9754,-666,199
-9700,-516,198
-9658,-404,197
-9609,-276,196
-9594,-241,196
-9564,-168,195
-9519,-71,195
-9492,-21,195
-9464,18,195
-9425,62,195
-9377,98,195
-9314,122,195
-9294,125,194
-9198,119,193
-9158,108,193
-9109,88,193
-9049,55,192
-8980,8,192
-8900,-52,192
-8865,-80,192
-8775,-156,190
-8702,-218,190
-8491,-409,189
-8436,-461,189
-8385,-511,189
-8346,-548,188
-8217,-670,188
-8172,-711,188
-8108,-769,189
-8022,-845,189
-7905,-943,190
-7849,-988,191
-7755,-1060,192
-7666,-1124,192
-7527,-1211,195
-7431,-1263,195
-7348,-1301,196
-7264,-1335,197
-7125,-1380,197
-6991,-1409,199
-6842,-1430,199
-6786,-1437,199
-6612,-1449,198
-6458,-1459,199
-6358,-1465,198
-6166,-1478,197
-6043,-1486,196
-5909,-1495,195
-5847,-1499,195
-5726,-1507,194
-5618,-1514,194
-5428,-1527,193
-5326,-1534,193
-5166,-1544,193
-5035,-1553,192
-4942,-1559,192
-4826,-1565,192
-4728,-1571,191
-4538,-1580,192
-4492,-1583,191
-4363,-1589,191
-4212,-1594,191
-4173,-1595,191
-4081,-1597,192
-3915,-1599,193
-3826,-1600,193
-3712,-1604,192
-3679,-1605,192
-3579,-1608,192
-3512,-1610,191
-3324,-1615,191
-3238,-1618,191
-3169,-1622,191
-3091,-1627,190
-2991,-1634,189
-2936,-1638,189
-2701,-1669,189
-2655,-1682,190
-2583,-1713,190
-2545,-1741,190
-2512,-1780,190
-2489,-1821,190
-2486,-1830,190
-2463,-1905,190
-2452,-1948,190
-2437,-2005,189
-2415,-2074,188
-2394,-2128,188
-2336,-2240,188
-2287,-2313,188
-2234,-2376,187
-2135,-2457,187
-2072,-2494,187
-2035,-2512,187
-1963,-2538,187
-1874,-2563,187
-1859,-2566,187
-1804,-2577,187
-1722,-2590,187
-1675,-2595,186
-1620,-2600,186
-1575,-2603,186
-1470,-2608,186
